,area,price,sqFt,sqFt price,Bedrooms,posted date
235," One Harmony, Pragathi",80.85 lakhs,1155 SqFeet,7000,2 Bedroom,Jun 22
236," in Kokapet, Hyderabad",1 - 1.5 crores,1800 SqFeet,,3 Bedroom,Jun 23
237," in Indresham, Hyderabad",40.35 lakhs,1100 SqFeet,3668,2 Bedroom,Jun 9
238," in Muthangi, Hyderabad",38.75 lakhs,1095 SqFeet,3539,2 Bedroom,Jun 9
239," in Kistareddypet, Hyderabad",45.75 lakhs,1011 SqFeet,4525,2 Bedroom,Jun 6
240," in Kistareddypet, Hyderabad",45.4 lakhs,1355 SqFeet,3351,3 Bedroom,Jun 7
241," in Muthangi, Hyderabad",31.22 lakhs,1122 SqFeet,2783,2 Bedroom,Jun 7
242," in Indresham, Hyderabad",34.15 lakhs,1205 SqFeet,2834,2 Bedroom,Jun 7
243," in Indresham, Hyderabad",38.72 lakhs,1110 SqFeet,3488,2 Bedroom,Jun 6
244," in Beeramguda, Hyderabad",50.88 lakhs,1088 SqFeet,4676,2 Bedroom,Jun 6
245," in Patancheru, Hyderabad",32.28 lakhs,1058 SqFeet,3051,2 Bedroom,Jun 7
246," in Patancheru, Hyderabad",34.68 lakhs,1046 SqFeet,3315,2 Bedroom,Jun 7
247," in Patancheru, Hyderabad",47.88 lakhs,1052 SqFeet,4551,2 Bedroom,Jun 6
248," in Patancheru, Hyderabad",39.8 lakhs,1190 SqFeet,3345,2 Bedroom,Jun 6
249," in Patancheru, Hyderabad",32.2 lakhs,1120 SqFeet,2875,2 Bedroom,Jun 5
250," in Patancheru, Hyderabad",33.33 lakhs,1090 SqFeet,3058,2 Bedroom,Jun 5
251," in Indresham, Hyderabad",34.55 lakhs,1028 SqFeet,3361,2 Bedroom,Jun 5
252," in Muthangi, Hyderabad",30.11 lakhs,1100 SqFeet,2737,2 Bedroom,Jun 5
253," in Muthangi, Hyderabad",32.11 lakhs,1105 SqFeet,2906,2 Bedroom,Jun 5
254," in Muthangi, Hyderabad",34.2 lakhs,1099 SqFeet,3112,2 Bedroom,Jun 3
255," in Muthangi, Hyderabad",34.22 lakhs,1122 SqFeet,3050,2 Bedroom,Jun 3
256," in Kistareddypet, Hyderabad",38.75 lakhs,919 SqFeet,4217,2 Bedroom,Jun 3
257," in Patancheru, Hyderabad",36.55 lakhs,912 SqFeet,4008,2 Bedroom,Jun 3
258," in Patelguda, Hyderabad",33.55 lakhs,908 SqFeet,3695,2 Bedroom,Jun 3
259," Pragathi Nagar, Hyderabad",40 - 60 lacs,1430 SqFeet,,3 Bedroom,Jun 17
260," Pragathi Nagar, Hyderabad",40 - 60 lacs,1450 SqFeet,,3 Bedroom,Jun 17
261," in Beeramguda, Hyderabad",50 lakhs,915 SqFeet,5464,2 Bedroom,Jun 2
262," in Kistareddypet, Hyderabad",47 lakhs,915 SqFeet,5137,2 Bedroom,Jun 2
263," in Muthangi, Hyderabad",37.42 lakhs,895 SqFeet,4181,2 Bedroom,Jun 2
264," in Indresham, Hyderabad",34.42 lakhs,902 SqFeet,3816,2 Bedroom,Jun 2
265," in Indresham, Hyderabad",32 lakhs,900 SqFeet,3556,2 Bedroom,Jun 1
266," in Muthangi, Hyderabad",37 lakhs,940 SqFeet,3936,2 Bedroom,Jun 1
267," in Muthangi, Hyderabad",32.55 lakhs,905 SqFeet,3597,2 Bedroom,Jun 1
268," in Kistareddypet, Hyderabad",38.55 lakhs,926 SqFeet,4163,2 Bedroom,May 31
269," in Kondapur, Hyderabad",1.65 crore,1654 SqFeet,9999,3 Bedroom,May 31
270," in Patancheru, Hyderabad",36.55 lakhs,916 SqFeet,3990,2 Bedroom,May 30
271," in Kondapur, Hyderabad",77.52 lakhs,1360 SqFeet,5700,2 Bedroom,Jun 8
272," in Muthangi, Hyderabad",34.55 lakhs,915 SqFeet,3776,2 Bedroom,May 29
273," in Indresham, Hyderabad",35.55 lakhs,928 SqFeet,3831,2 Bedroom,May 29
274," in Nallagandla, Hyderabad",1.04 crore,1350 SqFeet,7700,2 Bedroom,Jun 1
275," in Kistareddypet, Hyderabad",39.58 lakhs,944 SqFeet,4193,,May 22
276," in Begumpet, Hyderabad",83.05 lakhs,1510 SqFeet,5500,2 Bedroom,Jun 2
