,area,price,sqFt,sqFt price,Bedrooms,posted date
916," Saket Sriyam, Kapra",36 lakhs,1241 SqFeet,2901,2 Bedroom,
917," Anu Residency, Kondapur",39.8 lakhs,1075 SqFeet,3702,2 Bedroom,
918," Serene County, Gachibowli",1.65 crore,1853 SqFeet,8904,3 Bedroom,
919," Nagarjuna Residency, Gachibowli",1.65 crore,2430 SqFeet,6790,3 Bedroom,
920," SRR Heights, Bachupally",75 lakhs,1500 SqFeet,5000,3 Bedroom,
921," Anu Residency, Kondapur",21 lakhs,800 SqFeet,2625,2 Bedroom,
922," Bhanu Township, Miyapur",36.8 lakhs,1200 SqFeet,3067,2 Bedroom,
923," Kalki Heights, Madinaguda",44 lakhs,1140 SqFeet,3860,2 Bedroom,
924," Lansum Etania, Gachibowli",,1890 SqFeet,,3 Bedroom,
925," Heights III, Hasmatpet",26 lakhs,1200 SqFeet,2167,2 Bedroom,
926," Lodha Meridian, Kukatpally",1.35 crore,2259 SqFeet,5976,3 Bedroom,
927," Lodha Meridian, Kukatpally",1.6 crore,2259 SqFeet,7083,3 Bedroom,
928," Lodha Meridian, Kukatpally",85 lakhs,1278 SqFeet,6651,2 Bedroom,
929," Lodha Belleza, KPHB",3.3 crores,4761 SqFeet,6931,4 Bedroom,
930," Royal Woods, Kismatpur",1.8 crore,2804 SqFeet,6419,4 Bedroom,
931," Gulmohar Gardens, Habshiguda",39 lakhs,1300 SqFeet,3000,3 Bedroom,
932," Saket Sriyam, Kapra",58 lakhs,1784 SqFeet,3251,3 Bedroom,
933," Lakshmi Residency, Nizampet",38 lakhs,1116 SqFeet,3405,2 Bedroom,
934," One Kosmos, Gachibowli",62.4 lakhs,1560 SqFeet,4000,3 Bedroom,
935," Quiescent Heights, Hitech",2.84 crores,4375 SqFeet,6500,5 Bedroom,
936," Lodha Belleza, KPHB",2.25 crores,3499 SqFeet,6430,3 Bedroom,
937," Majestic Homes, KPHB",72 lakhs,1199 SqFeet,6005,2 Bedroom,
938," Nile Valley, Madinaguda",50 lakhs,1485 SqFeet,3367,3 Bedroom,
939," Lanco Hills, Hitech",1.35 crore,2500 SqFeet,5400,3 Bedroom,
940," Elegant Floatilla, Manikonda",45.6 lakhs,1300 SqFeet,3508,2 Bedroom,
941," ARK Towers, Miyapur",42.5 lakhs,1125 SqFeet,3778,2 Bedroom,
942," Serene County, Gachibowli",1.2 crore,1500 SqFeet,8000,3 Bedroom,
943," Lansum Etania, Gachibowli",91.8 lakhs,2135 SqFeet,4300,3 Bedroom,
944," Janapriya Utopia, Attapur",21 lakhs,800 SqFeet,2625,2 Bedroom,
945," Anu Residency, Kondapur",46 lakhs,1550 SqFeet,2968,3 Bedroom,
946," Mantri Celestia, Gachibowli",60.7 lakhs,970 SqFeet,6258,2 Bedroom,
947," Aparna Sarovar, Nallagandla",1 crore,1800 SqFeet,5556,3 Bedroom,
948," Carlton Creek, Gachibowli",67 lakhs,1384 SqFeet,4841,3 Bedroom,
949," Bhanu Township, Miyapur",38 lakhs,1060 SqFeet,3585,2 Bedroom,
950," Mantri Celestia, Gachibowli",67.5 lakhs,1025 SqFeet,6585,2 Bedroom,
951," Nagarjuna Residency, Gachibowli",3.5 crores,4860 SqFeet,7202,4 Bedroom,
952," Raheja Vistas, Nacharam",36 lakhs,930 SqFeet,3871,2 Bedroom,
953," Lodha Belleza, KPHB",3.15 crores,4761 SqFeet,6616,4 Bedroom,
954," Aditya Sunshine, Kondapur",1.55 crore,2485 SqFeet,6237,3 Bedroom,
955," Happy Homes, Rajendra",35 lakhs,1318 SqFeet,2656,3 Bedroom,
956," Green Grace, Gachibowli",2 crores,3050 SqFeet,6557,3 Bedroom,
957," The Nest, Kukatpally",53 lakhs,1205 SqFeet,4398,2 Bedroom,
958," Mantri Celestia, Gachibowli",,1198 SqFeet,,3 Bedroom,
959," Lanco Hills, Hitech",1.65 crore,3147 SqFeet,5243,4 Bedroom,
960," Janapriya Arcadia, Alwal",30 lakhs,1250 SqFeet,2400,3 Bedroom,
961," Lakshmi Residency, Nizampet",59 lakhs,1095 SqFeet,5388,2 Bedroom,
962," Lanco Hills, Hitech",1.55 crore,,,4 Bedroom,
963," Lodha Belleza, KPHB",2.5 crores,2850 SqFeet,8772,3 Bedroom,
964," Carlton Creek, Gachibowli",61.3 lakhs,1364 SqFeet,4494,2 Bedroom,
965," Carlton Creek, Gachibowli",62 lakhs,1380 SqFeet,4493,3 Bedroom,
966," Lanco Hills, Hitech",1.4 crore,1940 SqFeet,7216,3 Bedroom,
967," ARK Towers, Miyapur",38 lakhs,1510 SqFeet,2517,3 Bedroom,
968," Waterfront City, Shameerpet",12 lakhs,750 SqFeet,1600,,
969," Vinay Fountainhead, Hydernagar",90 lakhs,1905 SqFeet,4724,3 Bedroom,
970," One Kosmos, Gachibowli",75 lakhs,1590 SqFeet,4717,3 Bedroom,
971," Carlton Creek, Gachibowli",47.3 lakhs,1053 SqFeet,4492,2 Bedroom,
972," Aparna Sarovar, Nallagandla",,3800 SqFeet,,4 Bedroom,
973," Carlton Creek, Gachibowli",40 - 60 lacs,1334 SqFeet,,2 Bedroom,
974," Carlton Creek, Gachibowli",40 - 60 lacs,1083 SqFeet,,2 Bedroom,
975," Carlton Creek, Gachibowli",40 - 60 lacs,944 SqFeet,,2 Bedroom,
976," Carlton Creek, Gachibowli",60 lacs - 1 crore,2300 SqFeet,,4 Bedroom,
977," Carlton Creek, Gachibowli",1 - 1.5 crores,2500 SqFeet,,4 Bedroom,
978," Carlton Creek, Gachibowli",60 lacs - 1 crore,1800 SqFeet,,3 Bedroom,
979," Lodha Meridian, Kukatpally",1.42 crore,1900 SqFeet,7474,3 Bedroom,
980," Janapriya Metropolis, Moti",25 lakhs,715 SqFeet,3497,2 Bedroom,
981," Tranquil Towers, Kondapur",1.5 crore,3099 SqFeet,4840,3 Bedroom,
982," Fortune Fields, Hitech",,1856 SqFeet,,3 Bedroom,
983," Janapriya Metropolis, Moti",39 lakhs,1125 SqFeet,3467,3 Bedroom,
984," Janapriya Metropolis, Moti",50.7 lakhs,1460 SqFeet,3473,3 Bedroom,
985," SRR Heights, Bachupally",22 lakhs,930 SqFeet,2366,2 Bedroom,
986," Lanco Hills, Hitech",69.7 lakhs,1270 SqFeet,5488,2 Bedroom,
987," Mantri Celestia, Gachibowli",,850 SqFeet,,2 Bedroom,
988," JR Residency, Sri",32 lakhs,844 SqFeet,3791,2 Bedroom,
989," La Gardenia, Miyapur",55 lakhs,1770 SqFeet,3107,3 Bedroom,
990," Vertex Pleasant, Kukatpally",47.62 lakhs,1270 SqFeet,3750,2 Bedroom,
991," Vertex Pleasant, Kukatpally",55.5 lakhs,1480 SqFeet,3750,2 Bedroom,
992," Vertex Pleasant, Kukatpally",62.81 lakhs,1675 SqFeet,3750,3 Bedroom,
993," Vertex Pleasant, Kukatpally",72.94 lakhs,1945 SqFeet,3750,3 Bedroom,
994," Lanco Hills, Hitech",2.2 crores,3143 SqFeet,7000,4 Bedroom,
995," Green Grace, Gachibowli",1.26 crore,2300 SqFeet,5478,3 Bedroom,
996," Quiescent Heights, Hitech",26.99 lakhs,1200 SqFeet,2249,2 Bedroom,
997," Lodha Meridian, Kukatpally",75 lakhs,1476 SqFeet,5081,2 Bedroom,
998," Serene County, Gachibowli",14.82 lakhs,741 SqFeet,2000,2 Bedroom,
999," Lodha Meridian, Kukatpally",75 lakhs,1350 SqFeet,5556,2 Bedroom,
1000," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1001," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1002," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1003," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1004," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1005," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1006," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1007," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1008," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1009," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1010," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1011," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1012," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1013," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1014," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1015," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1016," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1017," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1018," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1019," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1020," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1021," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1022," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1023," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1024," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1025," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1026," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1027," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1028," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1029," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1030," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1031," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1032," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1033," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1034," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1035," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1036," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1037," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1038," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1039," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1040," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1041," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1042," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1043," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1044," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1045," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1046," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1047," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1048," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1049," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1050," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1051," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1052," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1053," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1054," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1055," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1056," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1057," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1058," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1059," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1060," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1061," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1062," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1063," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1064," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1065," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1066," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1067," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1068," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1069," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1070," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1071," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1072," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1073," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1074," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1075," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1076," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1077," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1078," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1079," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1080," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1081," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1082," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1083," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1084," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1085," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1086," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1087," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1088," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1089," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1090," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1091," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1092," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1093," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1094," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1095," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1096," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1097," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1098," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1099," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1100," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1101," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1102," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1103," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1104," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1105," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1106," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1107," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1108," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1109," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1110," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1111," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1112," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1113," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1114," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1115," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1116," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1117," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1118," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1119," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1120," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1121," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1122," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1123," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1124," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1125," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1126," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1127," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1128," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1129," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1130," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1131," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1132," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1133," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1134," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1135," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1136," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1137," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1138," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1139," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1140," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1141," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1142," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1143," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1144," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1145," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1146," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1147," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1148," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1149," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1150," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1151," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1152," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1153," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1154," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1155," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1156," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1157," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1158," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1159," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1160," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1161," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1162," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1163," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1164," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1165," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1166," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1167," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1168," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1169," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1170," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1171," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1172," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1173," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1174," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1175," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1176," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1177," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1178," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1179," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1180," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1181," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1182," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1183," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1184," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1185," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1186," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1187," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1188," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1189," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1190," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1191," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1192," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1193," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1194," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1195," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1196," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1197," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1198," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1199," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1200," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1201," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1202," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1203," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1204," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1205," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1206," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1207," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1208," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1209," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1210," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
